10:43:17  R -> NMEA GPGLL,  Size  29,  'Geographic Position - Latitude/Longitude'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R <- UBX CFG,  Size  11,  'Config'
10:43:17  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> NMEA GPRMC,  Size  40,  'Recommended Minimum Specific GNSS Data'
10:43:18  R -> NMEA GPVTG,  Size  21,  'Course Over Ground and Ground Speed'
10:43:18  R -> NMEA GPGGA,  Size  42,  'Global Positioning System Fix Data'
10:43:18  R -> NMEA GPGSA,  Size  45,  'GNSS DOP and Active Satellites'
10:43:18  R -> NMEA GPGSV,  Size  26,  'GNSS Satellites in View'
10:43:18  R -> NMEA GPGLL,  Size  29,  'Geographic Position - Latitude/Longitude'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
10:43:18  R -> UBX ACK-ACK,  Size  10,  'Acknowledged'
